event_id,tile_id,pre_image,post_image,mask_file,damage_class_counts,label_source,confidence,state,district,disaster_type
fani_2019,fani_2019_tile_004,processed/images_pre/fani_2019_tile_004_pre.png,processed/images_post/fani_2019_tile_004_post.png,processed/masks/fani_2019_tile_004_mask.png,"{""0"": 260192, ""1"": 1017, ""2"": 0, ""3"": 835, ""4"": 100}",expert_verified_ground_truth,0.95,Odisha,Puri,CYCLONE
fani_2019,fani_2019_tile_005,processed/images_pre/fani_2019_tile_005_pre.png,processed/images_post/fani_2019_tile_005_post.png,processed/masks/fani_2019_tile_005_mask.png,"{""0"": 258882, ""1"": 270, ""2"": 612, ""3"": 1654, ""4"": 726}",expert_verified_ground_truth,0.95,Odisha,Puri,CYCLONE
fani_2019,fani_2019_tile_006,processed/images_pre/fani_2019_tile_006_pre.png,processed/images_post/fani_2019_tile_006_post.png,processed/masks/fani_2019_tile_006_mask.png,"{""0"": 261066, ""1"": 256, ""2"": 182, ""3"": 559, ""4"": 81}",expert_verified_ground_truth,0.95,Odisha,Puri,CYCLONE
fani_2019,fani_2019_tile_007,processed/images_pre/fani_2019_tile_007_pre.png,processed/images_post/fani_2019_tile_007_post.png,processed/masks/fani_2019_tile_007_mask.png,"{""0"": 261780, ""1"": 182, ""2"": 182, ""3"": 0, ""4"": 0}",expert_verified_ground_truth,0.95,Odisha,Puri,CYCLONE
fani_2019,fani_2019_tile_008,processed/images_pre/fani_2019_tile_008_pre.png,processed/images_post/fani_2019_tile_008_post.png,processed/masks/fani_2019_tile_008_mask.png,"{""0"": 261172, ""1"": 306, ""2"": 484, ""3"": 182, ""4"": 0}",expert_verified_ground_truth,0.95,Odisha,Puri,CYCLONE
fani_2019,fani_2019_tile_009,processed/images_pre/fani_2019_tile_009_pre.png,processed/images_post/fani_2019_tile_009_post.png,processed/masks/fani_2019_tile_009_mask.png,"{""0"": 258095, ""1"": 306, ""2"": 1805, ""3"": 1727, ""4"": 211}",expert_verified_ground_truth,0.95,Odisha,Puri,CYCLONE
fani_2019,fani_2019_tile_010,processed/images_pre/fani_2019_tile_010_pre.png,processed/images_post/fani_2019_tile_010_post.png,processed/masks/fani_2019_tile_010_mask.png,"{""0"": 260234, ""1"": 324, ""2"": 868, ""3"": 718, ""4"": 0}",expert_verified_ground_truth,0.95,Odisha,Puri,CYCLONE
dharali_2025,dharali_2025_tile_001,processed/images_pre/dharali_2025_tile_001_pre.png,processed/images_post/dharali_2025_tile_001_post.png,processed/masks/dharali_2025_tile_001_mask.png,"{""0"": 261923, ""1"": 0, ""2"": 0, ""3"": 221, ""4"": 0}",weak_inference,0.4,Uttarakhand,Uttarkashi,FLASH_FLOOD
dharali_2025,dharali_2025_tile_002,processed/images_pre/dharali_2025_tile_002_pre.png,processed/images_post/dharali_2025_tile_002_post.png,processed/masks/dharali_2025_tile_002_mask.png,"{""0"": 261527, ""1"": 226, ""2"": 0, ""3"": 391, ""4"": 0}",weak_inference,0.4,Uttarakhand,Uttarkashi,FLASH_FLOOD
dharali_2025,dharali_2025_tile_003,processed/images_pre/dharali_2025_tile_003_pre.png,processed/images_post/dharali_2025_tile_003_post.png,processed/masks/dharali_2025_tile_003_mask.png,"{""0"": 262064, ""1"": 0, ""2"": 0, ""3"": 0, ""4"": 80}",weak_inference,0.4,Uttarakhand,Uttarkashi,FLASH_FLOOD
dharali_2025,dharali_2025_tile_004,processed/images_pre/dharali_2025_tile_004_pre.png,processed/images_post/dharali_2025_tile_004_post.png,processed/masks/dharali_2025_tile_004_mask.png,"{""0"": 261769, ""1"": 0, ""2"": 0, ""3"": 221, ""4"": 154}",weak_inference,0.4,Uttarakhand,Uttarkashi,FLASH_FLOOD
dharali_2025,dharali_2025_tile_005,processed/images_pre/dharali_2025_tile_005_pre.png,processed/images_post/dharali_2025_tile_005_post.png,processed/masks/dharali_2025_tile_005_mask.png,"{""0"": 259850, ""1"": 391, ""2"": 496, ""3"": 987, ""4"": 420}",weak_inference,0.4,Uttarakhand,Uttarkashi,FLASH_FLOOD
dharali_2025,dharali_2025_tile_006,processed/images_pre/dharali_2025_tile_006_pre.png,processed/images_post/dharali_2025_tile_006_post.png,processed/masks/dharali_2025_tile_006_mask.png,"{""0"": 259930, ""1"": 622, ""2"": 266, ""3"": 1256, ""4"": 70}",weak_inference,0.4,Uttarakhand,Uttarkashi,FLASH_FLOOD
